,character,pinyin,type,meaning,chapter,back_card
17,并且,bing4qie3,conj, And,12,bing4qie3 conj  And 12
14,同时,tong2shi2,conj," At the same time, meanwhile",11,"tong2shi2 conj  At the same time, meanwhile 11"
11,由于,you2yu2,conj," Because, since",10,"you2yu2 conj  Because, since 10"
13,然而,ran2er2,conj," But, however",11,"ran2er2 conj  But, however 11"
12,不过,bu2guo4,conj," But, yet",10,"bu2guo4 conj  But, yet 10"
19,于是,yu2shi4,conj," Hence, therefore",14,"yu2shi4 conj  Hence, therefore 14"
18,相反,xiang1fan3,conj, On the contrary,12,xiang1fan3 conj  On the contrary 12
16,否则,fou3ze2,conj," Or, otherwise",11,"fou3ze2 conj  Or, otherwise 11"
15,无论,wu2lun4,conj," Regardless of, no matter (what, how, when, etc)",11,"wu2lun4 conj  Regardless of, no matter (what, how, when, etc) 11"
20,既然,ji4ran2,conj," Since, as now that",14,"ji4ran2 conj  Since, as now that 14"
3,尽管,jing3guan3,conj,although,2,jing3guan3 conj although 2
23,以及,yi3ji2,conj,"and also, as well",12,"yi3ji2 conj and also, as well 12"
9,只要,zhi4yao4,conj,as long as provided,8,zhi4yao4 conj as long as provided 8
5,另外,ling4wai4,conj,"besides, in addition",3,"ling4wai4 conj besides, in addition 3"
10,可是,ke3shi4,conj,"cong. But, however",9,"ke3shi4 conj cong. But, however 9"
0,即使,ji2shi3,conj,even if,1,ji2shi3 conj even if 1
6,甚至,shen4zhi4,conj,"even, so far as to",4,"shen4zhi4 conj even, so far as to 4"
7,要是,yao4shi,conj,"if, supposing",7,"yao4shi conj if, supposing 7"
21,此外,ci3wai4,conj,"in addition, moreover",6,"ci3wai4 conj in addition, moreover 6"
26,则,ze2,conj,"indicating contrast, while",14,"ze2 conj indicating contrast, while 14"
24,何况,he2kuang4,conj,let alone,13,he2kuang4 conj let alone 13
4,不管,bu4guan3,conj,"no matter (how, what, etc)",3,"bu4guan3 conj no matter (how, what, etc) 3"
1,不仅,bu4jin3,conj,not only,1,bu4jin3 conj not only 1
22,要不,yao4bu,conj,"otherwise, or else",8,"yao4bu conj otherwise, or else 8"
8,因此,yin1ci3,conj,"therefore, so",8,"yin1ci3 conj therefore, so 8"
25,因而,yin1er2,conj,"therefore, thus",14,"yin1er2 conj therefore, thus 14"
2,而,er2,conj,"while, yet",2,"er2 conj while, yet 2"
